Species;X;Y;Abundance;Years;Site
Lissotriton helveticus;357219;6795084;1;2010;Site 134
Pelophylax spp.;357337;6783846;1;2010;Site 136
Rana dalmatina;357640;6795279;1;2010;Site 137
Rana dalmatina;358378;6795337;1;2010;Site 144
Rana dalmatina;358135;6794663;1;2010;Site 141
Rana dalmatina;357219;6795084;1;2010;Site 134
Rana dalmatina;356610;6794850;1;2010;Site 127
Rana temporaria;358135;6794663;1;2010;Site 141
Salamandra salamandra;357640;6795279;1;2010;Site 137
Salamandra salamandra;358135;6794663;1;2010;Site 141
Triturus cristatus;357337;6783846;1;2010;Site 136
Triturus marmoratus;357337;6783846;1;2010;Site 136
Triturus marmoratus;357219;6795084;1;2010;Site 134
Bufo spinosus;349798;6777397;1;2010;Site 81
Hyla arborea;349068;6787661;1;2010;Site 78
Lissotriton helveticus;349798;6777397;1;2010;Site 81
Rana dalmatina;349798;6777397;1;2010;Site 81
Rana dalmatina;348818;6787717;1;2010;Site 70
Salamandra salamandra;349798;6777397;1;2010;Site 81
Salamandra salamandra;349068;6787661;1;2010;Site 78
Pelophylax spp.;352493;6780363;1;2010;Site 106
Salamandra salamandra;351100;6780324;1;2010;Site 97
Salamandra salamandra;352493;6780363;1;2010;Site 106
Triturus cristatus;352493;6780363;1;2010;Site 106
Rana dalmatina;341137;6798681;1;2010;Site 15
Pelophylax spp.;344724;6794329;1;2010;Site 32
Triturus marmoratus;344724;6794329;1;2010;Site 32
Bufo spinosus;343576;6782112;1;2010;Site 22
Hyla arborea;343402;6782220;1;2010;Site 20
Lissotriton helveticus;344198;6780994;1;2010;Site 28
Rana dalmatina;344198;6780994;1;2010;Site 28
Rana dalmatina;344355;6780882;1;2010;Site 30
Rana dalmatina;343576;6782112;1;2010;Site 22
Rana dalmatina;343695;6782397;1;2010;Site 26
Rana dalmatina;343674;6782455;1;2010;Site 25
Triturus cristatus;343650;6782643;1;2010;Site 24
Triturus cristatus;343379;6782455;1;2010;Site 19
Triturus cristatus;343367;6782296;1;2010;Site 18
Triturus cristatus;343513;6782226;1;2010;Site 21
Triturus marmoratus;343379;6782455;1;2010;Site 19
Hyla arborea;335168;6788512;1;2010;Site 2
Pelophylax spp.;335168;6788512;1;2010;Site 2
Rana dalmatina;335168;6788512;1;2010;Site 2
Hyla arborea;347849;6788001;1;2010;Site 54
Lissotriton helveticus;348463;6787118;1;2010;Site 61
Lissotriton helveticus;348280;6787037;1;2010;Site 57
Rana dalmatina;348463;6787118;1;2010;Site 61
Rana dalmatina;347849;6788001;1;2010;Site 54
Ichthyosaura alpestris;348860;6787975;1;2010;Site 73
Lissotriton helveticus;348804;6786785;1;2010;Site 68
Lissotriton helveticus;348860;6787975;1;2010;Site 73
Triturus cristatus;348804;6786785;1;2010;Site 68
Rana dalmatina;349929;6785714;1;2010;Site 83
Rana dalmatina;350221;6785849;1;2010;Site 88
Rana dalmatina;349880;6785848;1;2010;Site 82
Bufo spinosus;350143;6777398;1;2010;Site 85
Ichthyosaura alpestris;350042;6777625;1;2010;Site 84
Pelophylax spp.;348398;6785920;1;2010;Site 58
Rana dalmatina;350042;6777625;1;2010;Site 84
Rana dalmatina;349929;6785714;1;2010;Site 83
Hyla arborea;348736;6786466;1;2009;Site 66
Hyla arborea;348486;6786300;1;2009;Site 63
Pelophylax spp.;348736;6786466;1;2009;Site 66
Pelophylax spp.;350206;6776401;1;2009;Site 87
Ichthyosaura alpestris;350221;6785883;1;2009;Site 89
Rana dalmatina;350221;6785849;1;2009;Site 88
Rana dalmatina;350221;6785849;1;2009;Site 88
Rana dalmatina;350221;6785883;1;2009;Site 89
Rana dalmatina;349629;6785695;1;2009;Site 79
Hyla arborea;345173;6782322;1;2008;Site 42
Lissotriton helveticus;345173;6782322;1;2008;Site 42
Pelophylax spp.;345173;6782322;1;2008;Site 42
Lissotriton helveticus;353885;6784083;1;2007;Site 116
Rana dalmatina;353885;6784083;1;2007;Site 116
Pelophylax spp.;348876;6786593;1;2006;Site 74
Pelophylax spp.;348463;6787118;1;2006;Site 61
Pelophylax spp.;348280;6787037;1;2006;Site 57
Pelophylax spp.;348262;6787418;1;2006;Site 56
Salamandra salamandra;348262;6787418;1;2006;Site 56
Triturus cristatus;348876;6786593;1;2006;Site 74
Triturus cristatus;348280;6787037;1;2006;Site 57
Hyla arborea;347849;6788001;1;2006;Site 54
Ichthyosaura alpestris;349629;6785695;1;2006;Site 79
Ichthyosaura alpestris;349929;6785714;1;2006;Site 83
Pelophylax spp.;347849;6788001;1;2006;Site 54
Rana dalmatina;349929;6785714;1;2006;Site 83
Rana dalmatina;347849;6788001;1;2006;Site 54
Salamandra salamandra;349929;6785714;1;2006;Site 83
Triturus cristatus;350221;6785883;1;2006;Site 89
Bufo spinosus;348745;6786711;1;2006;Site 67
Hyla arborea;348809;6786721;1;2006;Site 69
Hyla arborea;347849;6788001;1;2006;Site 54
Lissotriton helveticus;348472;6786513;1;2006;Site 62
Lissotriton helveticus;348809;6786721;1;2006;Site 69
Rana dalmatina;348446;6786447;1;2006;Site 59
Rana dalmatina;348472;6786513;1;2006;Site 62
Triturus cristatus;348472;6786513;1;2006;Site 62
Hyla arborea;347133;6787366;1;2006;Site 51
Pelophylax spp.;347133;6787366;1;2006;Site 51
Rana dalmatina;348398;6785920;1;2006;Site 58
Rana dalmatina;347849;6788001;1;2006;Site 54
Rana dalmatina;347777;6787087;1;2006;Site 52
Bufo spinosus;348666;6786915;1;2006;Site 65
Hyla arborea;348666;6786915;1;2006;Site 65
Lissotriton vulgaris;348666;6786915;1;2006;Site 65
Rana dalmatina;349068;6787661;1;2006;Site 78
Salamandra salamandra;348818;6787717;1;2006;Site 70
Triturus cristatus;348804;6786785;1;2006;Site 68
Triturus cristatus;349068;6787661;1;2006;Site 78
Lissotriton helveticus;348280;6787037;1;2006;Site 57
Lissotriton vulgaris;348280;6787037;1;2006;Site 57
Rana dalmatina;348912;6786837;1;2006;Site 76
Rana dalmatina;348463;6787118;1;2006;Site 61
Rana dalmatina;348280;6787037;1;2006;Site 57
Triturus marmoratus;358202;6787124;1;2005;Site 142
Hyla arborea;347832;6782386;1;2004;Site 53
Lissotriton helveticus;361632;6787932;1;2003;Site 163
Rana dalmatina;361632;6787932;1;2003;Site 163
Triturus cristatus;361741;6787981;1;2003;Site 164
Triturus marmoratus;361632;6787932;1;2003;Site 163
Bufo spinosus;367126;6794652;2;2010;Site 177
Lissotriton helveticus;353871;6774356;2;2010;Site 115
Pelophylax spp.;353871;6774356;2;2010;Site 115
Triturus cristatus;351737;6777426;2;2010;Site 104
Lissotriton helveticus;353589;6794832;2;2010;Site 112
Pelophylax spp.;341088;6788537;2;2010;Site 14
Salamandra salamandra;341088;6788537;2;2010;Site 14
Ichthyosaura alpestris;355801;6799726;2;2010;Site 123
Pelophylax spp.;338261;6794223;2;2010;Site 4
Ichthyosaura alpestris;344752;6794917;2;2010;Site 33
Triturus marmoratus;344867;6794816;2;2010;Site 36
Lissotriton helveticus;360102;6778130;2;2010;Site 153
Triturus marmoratus;360102;6778130;2;2010;Site 153
Pelophylax spp.;345883;6789171;2;2010;Site 47
Triturus cristatus;346571;6784193;2;2010;Site 50
Lissotriton helveticus;357250;6791810;2;2010;Site 135
Pelophylax spp.;356912;6792688;2;2010;Site 129
Pelophylax spp.;357002;6791825;2;2010;Site 132
Rana dalmatina;358945;6789802;2;2010;Site 145
Triturus cristatus;358945;6789802;2;2010;Site 145
Ichthyosaura alpestris;362218;6792063;2;2010;Site 166
Lissotriton helveticus;360683;6792575;2;2010;Site 155
Salamandra salamandra;360924;6792705;2;2010;Site 158
Triturus marmoratus;360683;6792575;2;2010;Site 155
Ichthyosaura alpestris;361293;6800629;2;2010;Site 161
Ichthyosaura alpestris;363974;6789458;2;2010;Site 172
Lissotriton helveticus;361741;6787981;2;2010;Site 164
Pelophylax spp.;361632;6787932;2;2010;Site 163
Rana dalmatina;367493;6784225;2;2010;Site 179
Triturus cristatus;361632;6787932;2;2010;Site 163
Triturus marmoratus;361741;6787981;2;2010;Site 164
Lissotriton helveticus;356610;6794850;2;2010;Site 127
Ichthyosaura alpestris;344724;6794329;2;2010;Site 32
Pelophylax spp.;344787;6794362;2;2010;Site 34
Pelophylax spp.;344198;6780994;2;2010;Site 28
Pelophylax spp.;344355;6780882;2;2010;Site 30
Lissotriton helveticus;335076;6788565;2;2010;Site 1
Rana dalmatina;348912;6786837;2;2010;Site 76
Lissotriton helveticus;350206;6776401;2;2009;Site 87
Hyla arborea;350221;6785883;2;2006;Site 89
Triturus cristatus;349929;6785714;2;2006;Site 83
Triturus cristatus;350221;6785849;2;2006;Site 88
Hyla arborea;348398;6785920;2;2006;Site 58
Hyla arborea;348876;6786593;2;2006;Site 74
Lissotriton helveticus;348876;6786593;2;2006;Site 74
Lissotriton helveticus;347849;6788001;2;2006;Site 54
Lissotriton helveticus;348912;6786837;2;2006;Site 76
Lissotriton helveticus;348876;6786593;2;2006;Site 74
Rana dalmatina;348804;6786785;2;2006;Site 68
Triturus cristatus;348666;6786915;2;2006;Site 65
Rana dalmatina;358202;6787124;2;2005;Site 142
Pelophylax spp.;361557;6788025;2;2003;Site 162
Salamandra salamandra;361741;6787981;2;2003;Site 164
Triturus marmoratus;361741;6787981;2;2003;Site 164
Salamandra salamandra;355096;6791928;3;2010;Site 119
Triturus marmoratus;351250;6774725;3;2010;Site 98
Triturus marmoratus;351031;6774146;3;2010;Site 96
Triturus marmoratus;360166;6778271;3;2010;Site 154
Rana dalmatina;346344;6777627;3;2010;Site 49
Ichthyosaura alpestris;363424;6792927;3;2010;Site 170
Rana dalmatina;360924;6792705;3;2010;Site 158
Salamandra salamandra;360958;6793240;3;2010;Site 159
Triturus marmoratus;360958;6793240;3;2010;Site 159
Lissotriton helveticus;364800;6784115;3;2010;Site 174
Lissotriton helveticus;363974;6789458;3;2010;Site 172
Rana dalmatina;364800;6784115;3;2010;Site 174
Salamandra salamandra;356244;6784537;3;2010;Site 125
Lissotriton helveticus;351100;6780324;3;2010;Site 97
Pelophylax spp.;351577;6780908;3;2010;Site 102
Triturus cristatus;344787;6794362;3;2010;Site 34
Lissotriton helveticus;343576;6782112;3;2010;Site 22
Rana dalmatina;344092;6781186;3;2010;Site 27
Rana dalmatina;343594;6782185;3;2010;Site 23
Salamandra salamandra;343594;6782185;3;2010;Site 23
Salamandra salamandra;335076;6788565;3;2010;Site 1
Lissotriton vulgaris;348398;6785920;3;2010;Site 58
Triturus cristatus;348398;6785920;3;2010;Site 58
Pelodytes punctatus;348832;6786787;3;2008;Site 71
Hyla arborea;348876;6786593;3;2006;Site 74
Pelophylax spp.;350221;6785883;3;2006;Site 89
Rana dalmatina;348398;6785920;3;2006;Site 58
Lissotriton helveticus;348818;6787717;3;2006;Site 70
Triturus cristatus;348912;6786837;3;2006;Site 76
Lissotriton helveticus;358202;6787124;3;2005;Site 142
Triturus marmoratus;361557;6788025;3;2003;Site 162
Ichthyosaura alpestris;359376;6798660;4;2010;Site 146
Triturus marmoratus;359376;6798660;4;2010;Site 146
Lissotriton helveticus;352430;6793025;4;2010;Site 105
Lissotriton vulgaris;344867;6794816;4;2010;Site 36
Rana dalmatina;344930;6795017;4;2010;Site 38
Hyla arborea;356224;6782445;4;2010;Site 124
Triturus cristatus;351549;6778613;4;2010;Site 100
Ichthyosaura alpestris;348893;6790708;4;2010;Site 75
Triturus cristatus;335412;6790011;4;2010;Site 3
Triturus marmoratus;360729;6792127;4;2010;Site 156
Triturus marmoratus;364275;6784688;4;2010;Site 173
Lissotriton helveticus;356252;6784421;4;2010;Site 126
