Species;Year;Abundance;X;Y
Bufo spinosus;2010;1;333909;6841183
Bufo spinosus;2010;1;223505;6864383
Pelophylax spp.;2010;1;202738;6765685
Salamandra salamandra;2010;1;390580;6789298
Rana dalmatina;2010;1;307830;6822020
Rana dalmatina;2010;1;306817;6823144
Rana temporaria;2010;1;306045;6825069
Rana temporaria;2010;1;307830;6822020
Rana temporaria;2010;1;306817;6823144
Bufo spinosus;2010;1;185895;6802118
Salamandra salamandra;2010;1;275916;6832780
Alytes obstetricans;2010;1;221038;6873626
Bufo spinosus;2010;1;221038;6873626
Hyla arborea;2010;1;221038;6873626
Lissotriton helveticus;2010;1;221038;6873626
Rana dalmatina;2010;1;221038;6873626
Rana temporaria;2010;1;221038;6873626
Salamandra salamandra;2010;1;221038;6873626
Triturus marmoratus;2010;1;221038;6873626
Alytes obstetricans;2010;1;218422;6872779
Bufo spinosus;2010;1;222232;6873271
Bufo spinosus;2010;1;272562;6838203
Bufo spinosus;2010;1;253386;6839537
Bufo spinosus;2010;1;270932;6845152
Bufo spinosus;2010;1;225732;6867863
Pelophylax spp.;2010;1;263381;6815093
Salamandra salamandra;2010;1;244013;6866916
Salamandra salamandra;2010;1;279849;6837145
Salamandra salamandra;2010;1;261522;6832296
Salamandra salamandra;2016;1;259519;6807029
Salamandra salamandra;2016;1;259519;6807029
Pelophylax spp.;2015;1;259519;6807029
Bufo spinosus;2012;1;251020;6868358
Salamandra salamandra;2014;1;272814;6832305
Salamandra salamandra;2014;1;273678;6815509
Bufo spinosus;2012;1;277592;6842260
Bufo spinosus;2012;1;218422;6872779
Salamandra salamandra;2012;1;262082;6852179
Bufo spinosus;2011;1;325121;6837277
Salamandra salamandra;2011;1;234996;6876583
Bufo spinosus;2014;1;279502;6831252
Bufo spinosus;2012;1;334917;6834804
Salamandra salamandra;2012;1;270060;6852489
Salamandra salamandra;2012;1;218422;6872779
Bufo spinosus;2011;1;313024;6818652
Bufo spinosus;2011;1;230839;6869221
Bufo spinosus;2011;1;259150;6835613
Bufo spinosus;2011;1;270302;6805843
Bufo spinosus;2011;1;269230;6833933
Rana dalmatina;2011;1;313024;6818652
Salamandra salamandra;2011;1;271395;6842110
Salamandra salamandra;2011;1;311815;6847779
Bufo spinosus;2010;1;240396;6876939
Salamandra salamandra;2010;1;275048;6836584
Salamandra salamandra;2010;1;218850;6878533
Bufo spinosus;2016;1;288972;6840669
Bufo spinosus;2016;1;287856;6838679
Pelophylax spp.;2016;1;292010;6833349
Salamandra salamandra;2014;1;243437;6807959
Bufo spinosus;2013;1;222776;6877348
Salamandra salamandra;2013;1;220223;6816740
Salamandra salamandra;2012;1;300058;6852171
Bufo spinosus;2011;1;225437;6831288
Bufo spinosus;2011;1;330049;6816550
Bufo spinosus;2011;1;297686;6818512
Hyla arborea;2011;1;229294;6860021
Salamandra salamandra;2011;1;259961;6837006
Salamandra salamandra;2011;1;331400;6835227
Salamandra salamandra;2011;1;326472;6828099
Salamandra salamandra;2011;1;269230;6833933
Salamandra salamandra;2011;1;223443;6869080
Bufo spinosus;2016;1;289020;6840745
Bufo spinosus;2014;1;243437;6807959
Salamandra salamandra;2014;1;263544;6822886
Alytes obstetricans;2013;1;262534;6821595
Alytes obstetricans;2013;1;264437;6822079
Bufo spinosus;2013;1;262534;6821595
Salamandra salamandra;2013;1;321156;6828915
Pelophylax spp.;2012;1;224913;6803411
Salamandra salamandra;2012;1;258348;6860004
Bufo spinosus;2011;1;256023;6869246
Bufo spinosus;2011;1;248737;6857983
Bufo spinosus;2011;1;328791;6833849
Bufo spinosus;2011;1;226987;6874848
Bufo spinosus;2017;1;300402;6820689
Bufo spinosus;2015;1;275181;6840680
Bufo spinosus;2014;1;234748;6876538
Pelophylax spp.;2014;1;224965;6867509
Salamandra salamandra;2014;1;224965;6867509
Salamandra salamandra;2014;1;220969;6871863
Pelophylax spp.;2013;1;317728;6845923
Bufo spinosus;2012;1;302886;6843554
Pelophylax kl. esculentus;2012;1;256195;6840934
Salamandra salamandra;2012;1;242615;6872582
Bufo spinosus;2011;1;256023;6869246
Bufo spinosus;2011;1;239826;6868249
Bufo spinosus;2011;1;279945;6836644
Salamandra salamandra;2011;1;218422;6872779
Triturus marmoratus;2010;1;225509;6871976
Bufo spinosus;2017;1;277675;6840161
Salamandra salamandra;2016;1;288972;6840669
Alytes obstetricans;2014;1;254876;6870184
Alytes obstetricans;2014;1;237746;6858172
Salamandra salamandra;2014;1;277146;6841835
Salamandra salamandra;2012;1;243722;6855725
Salamandra salamandra;2011;1;302598;6795688
Alytes obstetricans;2010;1;252736;6870543
Bufo spinosus;2010;1;252736;6870543
Bufo spinosus;2010;1;273505;6841911
Pelophylax spp.;2010;1;273823;6845788
Salamandra salamandra;2018;1;269689;6851677
Salamandra salamandra;2018;1;252451;6872344
Bufo spinosus;2017;1;277386;6841462
Bufo spinosus;2014;1;253897;6878129
Bufo spinosus;2014;1;313310;6846540
Bufo spinosus;2013;1;259785;6840005
Bufo spinosus;2013;1;258009;6867602
Pelophylax spp.;2013;1;259785;6840005
Salamandra salamandra;2013;1;258009;6867602
Lissotriton helveticus;2012;1;229878;6861533
Lissotriton helveticus;2012;1;237746;6858172
Rana temporaria;2012;1;237746;6858172
Salamandra salamandra;2012;1;307208;6846617
Salamandra salamandra;2012;1;285772;6840495
Salamandra salamandra;2012;1;277592;6842260
Bufo spinosus;2011;1;237746;6858172
Bufo spinosus;2011;1;242493;6874818
Bufo spinosus;2011;1;284859;6801827
Lissotriton helveticus;2011;1;237746;6858172
Lissotriton helveticus;2011;1;237746;6858172
Pelophylax spp.;2011;1;284553;6801030
Pelophylax spp.;2011;1;232410;6861697
Bufo spinosus;2010;1;274468;6841470
Bufo spinosus;2010;1;279849;6837145
Ichthyosaura alpestris;2010;1;274468;6841470
Pelophylax spp.;2010;1;274468;6841470
Salamandra salamandra;2016;1;243166;6873519
Bufo spinosus;2015;1;291265;6846927
Bufo spinosus;2015;1;273678;6815509
Salamandra salamandra;2015;1;277189;6841863
Bufo spinosus;2014;1;243210;6854958
Pelophylax spp.;2012;1;243438;6808059
Rana temporaria;2012;1;229878;6861533
Lissotriton helveticus;2011;1;233860;6871321
Lissotriton helveticus;2011;1;237746;6858172
Pelophylax spp.;2011;1;276284;6835729
Pelophylax spp.;2011;1;275710;6835333
Rana temporaria;2011;1;237746;6858172
Salamandra salamandra;2011;1;308383;6831217
Bufo spinosus;2010;1;270832;6853848
Ichthyosaura alpestris;2010;1;220717;6840820
Lissotriton helveticus;2010;1;220717;6840820
Pelophylax kl. esculentus;2010;1;252015;6807761
Salamandra salamandra;2018;1;268655;6837036
Salamandra salamandra;2017;1;258789;6852805
Salamandra salamandra;2014;1;318454;6816145
Bufo spinosus;2013;1;273505;6841911
Bufo spinosus;2012;1;271395;6842110
Bufo spinosus;2012;1;245016;6867408
Bufo spinosus;2012;1;218495;6862724
Bufo spinosus;2012;1;245557;6810640
Bufo spinosus;2012;1;287359;6814299
Salamandra salamandra;2012;1;218422;6872779
Bufo spinosus;2011;1;269303;6830635
Pelophylax spp.;2011;1;238314;6817094
Salamandra salamandra;2011;1;273731;6846788
Salamandra salamandra;2011;1;272612;6832007
Triturus marmoratus;2011;1;315075;6818571
Bufo spinosus;2010;1;275701;6831699
Bufo spinosus;2010;1;270179;6831841
Bufo spinosus;2010;1;275902;6827601
Bufo spinosus;2010;1;275571;6831865
Bufo spinosus;2010;1;275329;6831495
Bufo spinosus;2010;1;274109;6831961
Lissotriton helveticus;2010;1;258364;6857870
Lissotriton helveticus;2010;1;275910;6831444
Pelophylax spp.;2010;1;237195;6802213
Rana dalmatina;2010;1;275902;6827601
Rana dalmatina;2010;1;270969;6832359
Salamandra salamandra;2010;1;258364;6857870
Salamandra salamandra;2010;1;275902;6827601
Salamandra salamandra;2010;1;275910;6831444
Bufo spinosus;2012;1;294617;6809743
Salamandra salamandra;2012;1;297686;6818512
Bufo spinosus;2011;1;269791;6853916
Rana dalmatina;2011;1;233860;6871321
Rana temporaria;2011;1;233860;6871321
Rana temporaria;2011;1;274859;6839212
Salamandra salamandra;2011;1;237307;6878163
Bufo spinosus;2010;1;277154;6832655
Bufo spinosus;2012;1;322114;6823910
Bufo spinosus;2011;1;312737;6850569
Bufo spinosus;2011;1;187453;6783925
Bufo spinosus;2019;1;154018;6829449
Salamandra salamandra;2019;1;154018;6829449
Alytes obstetricans;2017;1;155907;6833612
Alytes obstetricans;2017;1;155908;6833658
Alytes obstetricans;2017;1;155954;6833545
Bufo spinosus;2017;1;155907;6833612
Bufo spinosus;2017;1;155908;6833658
Bufo spinosus;2017;1;155954;6833545
Salamandra salamandra;2017;1;155907;6833612
Salamandra salamandra;2017;1;155908;6833658
Salamandra salamandra;2017;1;155954;6833545
Bufo spinosus;2015;1;348431;6810091
Lissotriton helveticus;2015;1;348359;6810049
Rana dalmatina;2015;1;348435;6810084
Rana temporaria;2015;1;348426;6810074
Salamandra salamandra;2015;1;348370;6810124
Salamandra salamandra;2015;1;140672;6833894
Alytes obstetricans;2014;1;155759;6832579
Alytes obstetricans;2014;1;155991;6832631
Bufo spinosus;2014;1;249369;6737667
Bufo spinosus;2014;1;226033;6769933
Bufo spinosus;2014;1;219981;6768511
Bufo spinosus;2014;1;154534;6831277
Bufo spinosus;2014;1;154857;6830753
Bufo spinosus;2014;1;157119;6832295
Bufo spinosus;2014;1;151151;6831536
Bufo spinosus;2014;1;151382;6829973
Bufo spinosus;2014;1;152967;6831305
Bufo spinosus;2014;1;152985;6831316
Bufo spinosus;2014;1;154755;6831638
Bufo spinosus;2014;1;155007;6831732
Bufo spinosus;2014;1;155285;6832094
Bufo spinosus;2014;1;156097;6832728
Lissotriton helveticus;2014;1;151326;6831333
Lissotriton helveticus;2014;1;152361;6830538
Lissotriton helveticus;2014;1;152774;6834472
Lissotriton helveticus;2014;1;153371;6831566
Lissotriton helveticus;2014;1;154857;6830753
Lissotriton helveticus;2014;1;156175;6836200
Lissotriton helveticus;2014;1;157119;6832295
Lissotriton helveticus;2014;1;151151;6831536
Lissotriton helveticus;2014;1;152967;6831305
Lissotriton helveticus;2014;1;153979;6831566
Lissotriton helveticus;2014;1;155268;6835358
Lissotriton helveticus;2014;1;155285;6832094
Lissotriton helveticus;2014;1;156614;6835442
Lissotriton helveticus;2014;1;156618;6832428
Lissotriton helveticus;2014;1;156097;6832728
Lissotriton helveticus;2014;1;149812;6830746
Pelophylax spp.;2014;1;249369;6737667
Rana temporaria;2014;1;151804;6831783
Rana temporaria;2014;1;151889;6831881
Salamandra salamandra;2014;1;152361;6830538
Salamandra salamandra;2014;1;152774;6834472
Salamandra salamandra;2014;1;153371;6831566
Salamandra salamandra;2014;1;156175;6836200
Salamandra salamandra;2014;1;151151;6831536
Salamandra salamandra;2014;1;152967;6831305
Salamandra salamandra;2014;1;155268;6835358
Salamandra salamandra;2014;1;156614;6835442
Salamandra salamandra;2014;1;156618;6832428
Salamandra salamandra;2014;1;157728;6832458
Salamandra salamandra;2014;1;156097;6832728
Salamandra salamandra;2013;1;171585;6788482
Bufo spinosus;2012;1;267871;6856077
Bufo spinosus;2012;1;171976;6787956
Bufo spinosus;2012;1;290694;6759354
Bufo spinosus;2012;1;176153;6787820
Hyla arborea;2012;1;290694;6759354
Hyla arborea;2012;1;257224;6738159
Lissotriton helveticus;2012;1;243394;6800577
Lissotriton helveticus;2012;1;176153;6787820
Pelodytes punctatus;2012;1;228262;6715489
Pelophylax kl. esculentus;2012;1;257224;6738159
Pelophylax spp.;2012;1;234487;6779619
Rana dalmatina;2012;1;290694;6759354
Rana dalmatina;2012;1;234487;6779619
Rana dalmatina;2012;1;243394;6800577
Rana temporaria;2012;1;234487;6779619
Salamandra salamandra;2012;1;234487;6779619
Salamandra salamandra;2012;1;267871;6856077
Salamandra salamandra;2012;1;243394;6800577
Alytes obstetricans;2011;1;254497;6848096
Bufo spinosus;2011;1;154180;6832805
Bufo spinosus;2011;1;371361;6824102
Bufo spinosus;2011;1;349911;6776939
Bufo spinosus;2011;1;265757;6727638
Bufo spinosus;2011;1;185161;6770877
Bufo spinosus;2011;1;371330;6823803
Bufo spinosus;2011;1;395398;6774667
Bufo spinosus;2011;1;258019;6868802
Bufo spinosus;2011;1;254497;6848096
Bufo spinosus;2011;1;172576;6787201
Bufo spinosus;2011;1;258654;6873307
Bufo spinosus;2011;1;248109;6795287
Hyla arborea;2011;1;236488;6747720
Hyla arborea;2011;1;185161;6770877
Hyla arborea;2011;1;340060;6790045
Ichthyosaura alpestris;2011;1;340060;6790045
Lissotriton helveticus;2011;1;172356;6817259
Lissotriton helveticus;2011;1;250893;6738205
Lissotriton helveticus;2011;1;154180;6832805
Lissotriton helveticus;2011;1;258019;6868802
Lissotriton helveticus;2011;1;257087;6864812
Lissotriton helveticus;2011;1;254497;6848096
Lissotriton helveticus;2011;1;172576;6787201
Lissotriton helveticus;2011;1;367561;6811096
Lissotriton helveticus;2011;1;290694;6759354
